,個人番号
0,55320
1,306348
2,2510
3,9011752
4,24504
5,20505
6,128454
7,152686
8,350003
9,202515
10,137919
11,35161
12,7969
13,305794
14,21197
15,122143
16,22114
17,301892
18,28985
19,4286
20,2535
21,10609
22,402345
23,371160
24,8061
25,210146
26,26061
27,957
28,41695
29,402463
30,38577
31,13019509
32,9013343
33,348379
34,6001559
35,10128
36,28270
37,12370
38,6082
39,9007230
40,26038
41,17446
42,5534
43,27592
44,14240
45,8835
46,11760
47,17475
48,101220
49,21548
50,38206
51,16200
52,35406
53,3874
54,9509
55,15949
56,26938
57,121558
58,37346
59,15197
60,405643
61,35463
62,40940
63,403187
64,9011158
65,363010
66,88
67,38246
68,37685
69,2723
70,300670
71,36223
72,128066
73,40843
74,26026
75,11433
76,11637
77,53163
78,101642
79,9008080
80,26036
81,348525
82,1731
83,336006
84,14457
85,112268
86,7262
87,51754
88,10405
89,27837
90,27928
91,9006279
92,316536
93,48800
94,17150
95,403545
96,2111
97,29116
98,329464
99,30640
100,9781
101,18458
102,48665
103,22080
104,35969
105,44197
106,714
107,121913
108,38480
109,10956
110,122416
111,6000920
112,3633
113,6003460
114,36395
115,26095
116,19072
117,5957
118,127423
119,6150
120,402529
121,54408
122,15109
123,37619
124,48122
125,18208
126,213090
127,2822
128,18161
129,3392
130,407707
131,22390
132,127969
133,16092
134,53350
135,10333
136,20985
137,44016
138,48445
139,53347
140,46119
141,26710
142,24969
143,42519
144,15077
145,405888
146,9008924
147,55293
148,22532
149,22081
150,26933
151,307948
152,20101
153,323711
154,301946
155,13562
156,3545
157,140863
158,14456
159,20609
160,14925
161,19045
162,27743
163,7846
164,14607
165,22152
166,12268
167,10569
168,39262
169,346164
170,343151
171,41206
172,127910
173,36724
174,12593
175,5202098
176,329890
177,19561
178,410832
179,400842
180,37327
181,406387
182,6424
183,45056
184,47865
185,37455
186,17281
187,16807
188,7306
189,21252
190,3910
191,121988
192,30341
193,5935
194,27819
195,17105
196,26089
197,15985
198,26932
199,225
200,29587
201,13027218
202,17296
203,21905
204,15220
205,27251
206,22542
207,21374
208,29417
209,18278
210,37987
211,7134
212,25104
213,343590
214,9006646
215,11913
216,17375
217,35111
218,2355
219,9011791
220,21695
221,52751
222,351974
223,36683
224,1234
225,27419
226,1588
227,18737
228,408955
229,403620
230,124321
231,20176
232,404659
233,9012213
234,30133
235,136861
236,307201
237,5154
238,2090
239,325264
240,22153
241,402582
242,404064
243,10853
244,21736
245,405029
246,119875
247,49026
248,406032
249,9913
250,9013920
251,354446
252,123091
253,23073
254,13954
255,30787
256,26779
257,135103
258,406650
259,326300
260,344003
261,18916
262,46010
263,30197
264,119602
265,9862
266,355633
267,343874
268,26861
269,21528
270,104877
271,2286
272,138164
273,14155
274,5334
275,15209
276,336961
277,43882
278,21296
279,23138
280,2068
281,409299
282,37816
283,305514
284,21054
285,3325
286,147629
287,30533
288,340400
289,306282
290,356066
291,20491
292,300759
293,39692
294,144584
295,3960
296,14612
297,343850
298,9012733
299,13017409
300,406707
301,106716
302,4572
303,12103
304,18573
305,24257
306,43494
307,14431
308,410553
309,4419
310,323371
311,4163
312,22577
313,27704
314,7446
315,300700
316,6751
317,6001532
318,126086
319,14884
320,15368
321,360677
322,19986
323,37176
324,40659
325,38332
326,12872
327,21361
328,21661
329,9915
330,27927
331,305502
332,49633
333,13012717
334,112953
335,15909
336,30107
337,144402
338,18092
339,37519
340,9008547
341,19857
342,23462
343,408998
344,344684
345,17104
346,17809
347,28773
348,406045
349,41781
350,46760
351,27395
352,18018
353,357022
354,318818
355,7830
356,13029415
357,24019
358,16962
359,24885
360,13280
361,121624
362,136796
363,402321
364,12437
365,349062
366,27415
367,29236
368,24915
369,14235
370,3187
371,20682
372,408256
373,6000423
374,347788
375,37345
376,371020
377,301363
378,12123
379,337280
380,37472
381,19068
382,348094
383,37476
384,22350
385,9002238
386,342559
387,27310
388,22979
389,1529
390,25118
391,30305
392,7334
393,49174
394,112300
395,401386
396,1025
397,407987
398,9981
399,12237
400,124115
401,342092
402,128694
403,17907
404,23467
405,8184
406,403009
407,336055
408,15287
409,338787
410,104638
411,402031
412,151142
413,30889
414,6730
415,20500
416,49632
417,37086
418,42938
419,349049
420,348987
421,340514
422,28524
423,131680
424,1064
425,107508
426,5392
427,3769
428,319185
429,14938
430,146852
431,407886
432,374622
433,1017
434,331483
435,22681
436,20319
437,54063
438,45715
439,14694
440,28594
441,147504
442,24802
443,45403
444,12310
445,13587
446,117671
447,16869
448,343930
449,204230
450,2981
451,325367
452,133280
453,1316
454,15869
455,23176
456,29807
457,336171
458,21765
459,26381
460,406123
461,373003
462,406932
463,14526
464,36631
465,39941
466,109108
467,14750
468,21302
469,102145
470,36377
471,54294
472,305307
473,41961
474,125542
475,39058
476,15556
477,4882
478,25621
479,324053
480,364452
481,26460
482,25089
483,2208
484,410356
485,46666
486,16006
487,2139
488,11210
489,407640
490,1179
491,317838
492,14883
493,2375
494,20942
495,347776
496,25411
497,22753
498,8010
499,54706
500,1388
501,47359
502,401821
503,184
504,408408
505,401657
506,26444
507,14030
508,334472
509,6008749
510,146720
511,409767
512,20461
513,370348
514,22694
515,16042
516,4937
517,344891
518,21843
519,18619
520,109116
521,405669
522,37473
523,46811
524,42240
525,9006643
526,10077
527,20998
528,11122
529,37991
530,118836
531,106492
532,329737
533,19377
534,9011267
535,9015104
536,40882
537,30318
538,18813
539,41732
540,27843
541,318480
542,26010
543,20745
544,114165
545,47380
546,344672
547,21198
548,25593
549,25380
550,44858
551,329129
552,12454
553,9010420
554,8160
555,9011495
556,118323
557,403483
558,3983
559,329350
560,7357
561,28644
562,2273
563,19142
564,136960
565,14827
566,4771
567,140798
568,1876
569,14543
570,44620
571,408044
572,339585
573,302010
574,27777
575,50979
576,4899
577,37089
578,6877
579,352905
580,46341
581,110122
582,102244
583,105783
584,207860
585,13101
586,404913
587,684
588,354537
589,3041
590,12105
591,10693
592,372825
593,24919
594,35552
595,359717
596,6822
597,403561
598,4697
599,2398
600,24090
601,14777
602,52752
603,106872
604,53535
605,7843
606,7181
607,314357
608,9006644
609,19837
610,14
611,10341
612,41956
613,3261
614,5621
615,9768
616,405324
617,43867
618,10596
619,9959
620,27647
621,25117
622,348793
623,127
624,37581
625,17124
626,21367
627,518
628,346530
629,12416
630,30725
631,6885
632,341087
633,370774
634,27603
635,49359
636,140269
637,25691
638,7926
639,403583
640,357411
641,330363
642,42140
643,19953
644,9010344
645,328010
646,6299
647,2104
648,26936
649,18495
650,410219
651,116228
652,401278
653,308655
654,128397
655,407141
656,5285
657,18169
658,343424
659,27909
660,9255
661,44032
662,51171
663,41755
664,35263
665,305757
666,35113
667,103747
668,28134
669,3391
670,26785
671,7519
672,132878
673,2032
674,37454
675,23458
676,21102
677,16335
678,18457
679,8659
680,9011476
681,20921
682,21702
683,15681
684,25355
685,18396
686,38284
687,352474
688,314187
689,308400
690,10264
691,5740
692,3824
693,5474
694,208801
695,12022
696,23926
697,1928
698,693
699,40604
700,322561
701,46643
702,8315
703,5337
704,27001
705,326165
706,9075538
707,13827
708,3647
709,21110
710,111872
711,406895
712,326566
713,19439
714,39309
715,7583
716,26355
717,3420
718,344350
719,15468
720,35891
721,20088
722,340502
723,314424
724,302458
725,7437
726,148411
727,15042
728,8481
729,122846
730,39034
731,14474
732,368561
733,9237
734,21785
735,21308
736,20920
737,371390
738,9014672
739,52912
740,110353
741,348537
742,26845
743,9010504
744,30886
745,5188
746,21842
747,43165
748,13439
749,12048
750,17668
751,6837
752,23379
753,133488
754,15385
755,341403
756,47692
757,128272
758,3348
759,7424
760,327327
761,27219
762,300140
763,3804
764,3145
765,9010600
766,133348
767,53855
768,13857
769,18989
770,407406
771,25149
772,9650
773,54121
774,9075535
775,12371
776,45131
777,10806
778,3191
779,19139
780,9113
781,402492
782,25049
783,40117
784,26745
785,310170
786,11358
787,21521
788,108092
789,136978
790,16571
791,14058
792,313493
793,19248
794,19814
795,13013586
796,342560
797,346401
798,111864
799,29284
800,38594
801,9887
802,5081
803,6000169
804,403936
805,9008781
806,7644
807,36579
808,356935
809,23957
810,23958
811,401140
812,21232
813,18354
814,6147
815,328654
816,328393
817,17523
818,8639
819,408675
820,21247
821,311356
822,9708
823,944
824,18172
825,19691
826,329210
827,49893
828,52410
829,19511
830,38699
831,2331
832,46693
833,21644
834,111518
835,360227
836,42877
837,5780
838,41512
839,17936
840,349074
841,53568
842,8694
843,21582
844,3875
845,9012422
846,51803
847,45956
848,17501
849,119677
850,55319
851,205856
852,27791
853,23242
854,7847
855,22734
856,359237
857,14858
858,2156
859,101287
860,7970
861,53752
862,53088
863,20674
864,17530
865,35453
866,27283
867,47706
868,365780
869,400490
870,305861
871,314369
872,19228
873,9075715
874,104042
875,13777
876,14361
877,146894
878,37363
879,49239
880,30008
881,131698
882,324557
883,5055
884,361906
885,330168
886,41084
887,10041
888,16030
889,26819
890,54644
891,50799
892,21998
893,125583
894,7572
895,335038
896,30110
897,404405
898,6000397
899,2642
900,407769
901,141200
902,12867
903,54213
904,20392
905,7149
906,37187
907,2492
908,22095
909,48280
910,51972
911,35201
912,30883
913,409302
914,311368
915,21936
916,404393
917,144097
918,404308
919,8172
920,352280
921,319847
922,3283
923,9438
924,14642
925,138255
926,13005664
927,27066
928,39307
929,51821
930,120139
931,19728
932,29153
933,2550
934,1284
935,1741
936,137752
937,26090
938,47963
939,16297
940,29487
941,319010
942,122077
943,11904
944,42052
945,406432
946,115139
947,405522
948,46532
949,27398
950,408048
951,2394
952,18755
953,13861
954,405367
955,367600
956,10091
957,27329
958,39146
959,9075828
960,29923
961,9032
962,41182
963,102491
964,13807
965,341622
966,22787
967,19433
968,23589
969,350090
970,6015
971,21612
972,351093
973,306580
974,410757
975,23415
976,15954
977,119495
978,30600
979,4522
980,119420
981,29897
982,26365
983,45866
984,340046
985,347478
986,42222
987,4988
988,27169
989,212654
990,20521
991,22068
992,28945
993,205914
994,9012886
995,53044
996,15405
997,52300
998,10006
999,49580
1000,17490
1001,308527
1002,35415
1003,42131
1004,20695
1005,37450
1006,116236
1007,18830
1008,360021
1009,213819
1010,53903
1011,7148
1012,16885
1013,14661
1014,410200
1015,29226
1016,4770
1017,53957
1018,38537
1019,105494
1020,4898
1021,19716
1022,18875
1023,309740
1024,18397
1025,12718
1026,54115
1027,20373
1028,8274
1029,23461
1030,300711
1031,7601
1032,317280
1033,130245
1034,9006627
1035,340095
1036,6005360
1037,113910
1038,6004662
1039,342547
1040,368056
1041,54077
1042,13099
1043,400277
1044,21920
1045,7188
1046,305850
1047,10653
1048,19940
1049,13019940
1050,7658
1051,5981
1052,369280
1053,308448
1054,27035
1055,115253
1056,18665
1057,7245
1058,27970
1059,28305
1060,4676
1061,7600
1062,13902
1063,114579
1064,2640
1065,361517
1066,11908
1067,122721
1068,38151
1069,146902
1070,29929
1071,307912
1072,202978
1073,331495
1074,25942
1075,23439
1076,2542
1077,6637
1078,20106
1079,407540
1080,37740
1081,349839
1082,354800
1083,7629
1084,30622
1085,101840
1086,2256
1087,27180
1088,28645
1089,20810
1090,16224
1091,44626
1092,11706
1093,47536
1094,40704
1095,18008
1096,7244
1097,30786
1098,50715
1099,21513
1100,17634
1101,10723
1102,13016
1103,25976
1104,791
1105,36932
1106,19392
1107,149799
1108,137901
1109,1071
1110,38357
1111,9946
1112,22491
1113,23468
1114,11126
1115,18791
1116,54266
1117,101097
1118,46340
1119,38134
1120,46095
1121,3544
1122,41071
1123,3759
1124,344593
1125,21287
1126,313
1127,24813
1128,26497
1129,6107
1130,115329
1131,52608
1132,21395
1133,39683
1134,28681
1135,7542
1136,21384
1137,403426
1138,38496
1139,26037
1140,9549
1141,149260
1142,30222
1143,10432
1144,4689
1145,26684
1146,38666
1147,21900
1148,401553
1149,127456
1150,29356
1151,106617
1152,52435
1153,40697
1154,25042
1155,13495
1156,401043
1157,341956
1158,328861
1159,355463
1160,15646
1161,9013833
1162,20308
1163,13026190
1164,11359
1165,318284
1166,4548
1167,23744
1168,345469
1169,12686
1170,20743
1171,18287
1172,20197
1173,303888
1174,16220
1175,22034
1176,1737
1177,116590
1178,5971
1179,401484
1180,27465
1181,353570
1182,17290
1183,28550
1184,23831
1185,19929
1186,303645
1187,24355
1188,328228
1189,47952
1190,22409
1191,336973
1192,127092
1193,148841
1194,22546
1195,17000
1196,22854
1197,49283
1198,45089
1199,356200
1200,9001083
1201,26988
1202,8146
1203,3499
1204,2683
1205,17474
1206,22115
1207,9010307
1208,40949
1209,835
1210,17614
1211,13576
1212,29311
1213,26491
1214,20328
1215,408962
1216,212258
1217,406092
1218,122150
1219,4258
1220,21128
1221,41875
1222,22910
1223,21037
1224,9006626
1225,21657
1226,9006642
1227,23054
1228,30858
1229,11809
1230,201459
1231,129148
1232,410429
1233,16824
1234,406394
1235,21643
1236,29192
1237,323
1238,26820
1239,300887
1240,11315
1241,22185
1242,22239
1243,20102
1244,21123
1245,16271
1246,71
1247,8846
1248,19393
1249,8041
1250,357058
1251,26665
1252,16051
1253,21193
1254,130971
1255,22607
1256,20139
1257,25136
1258,10070
1259,332918
1260,304753
1261,19273
1262,44479
1263,117408
1264,29842
1265,343503
1266,120659
1267,121814
1268,29462
1269,40607
1270,15649
1271,130369
1272,404934
1273,23355
1274,360574
1275,2968
1276,410481
1277,322019
1278,9011753
